text,label
意识到共济失调为啥,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
e韧带断裂何事查询嗯,O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
小眼球怎样!止痊p,B-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
何以做太阳中风、!,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
防止寒冷刺激下皮损表面出现皱缩c，什么,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
抵御搏动性肿块做什么物,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
肘管综合征咋地康复,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
h，何事意味着麻风性角膜病变,O O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
什么指的是o口腔病,O O O O O O B-DISEASE I-DISEASE I-DISEASE
胸壁塌陷如何，止痊,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
，a自身免疫性溶血性贫血何物办,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
补品甚握力减退,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
小儿肥胖c食谱有何,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
咋地9检测1严重腹腔感染,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
怎么查验息肉,O O O O B-SYMPTOM I-SYMPTOM
q小儿血管性血友病怎么治癒~,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
避免更年期肥胖m做有何,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
胸骨后异物阻塞感及隐痛吃何,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
韧带扭伤怎样避免6,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
何医治小儿流行性感冒,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
腹腔积血什么物止痊g,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
儿童遗尿症详情z何物r,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
小儿中耳炎推荐c如何t做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O O
哪7噢增加肛门湿疹瘙痒,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
产褥中暑s宜于哪,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
m、甚乳房外湿疹样癌告知,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
咋地缓解皮质激素依赖,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
全腹痛不良什么事,B-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
纤毛上皮细胞损伤脱落咋样办,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
介绍何心房心肌梗死,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
血瘀体质推荐咋地做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
第5指短小弯曲怎么避开,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
嗯怎么6缓解脱髓鞘,O O O O O O B-DISEASE I-DISEASE I-DISEASE
查v甚脱肛,O O O B-SYMPTOM I-SYMPTOM
1肝内HDAg仅一过性阳性怎么体检,O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
6什么事治疗焦虑症。,O O O O O O B-DISEASE I-DISEASE I-DISEASE O
夸赛纳森林病了解t8何事,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
维生素E缺乏神经病详情,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
dd神经束损伤断裂什么物办,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
什么物治疗腹肌紧张,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
哪些痊愈小儿单纯肺动脉口狭窄,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
糖尿病足告知s,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
呃逆哪哈检,B-SYMPTOM I-SYMPTOM O O O
a肌张力异常不好那,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
0小儿急性喉气管支气管炎d在什么事,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
怎么样办成人呼吸窘迫综合征,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
6A-V综合征v建议什么物,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
认为低血糖症何故,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
吃那视神经炎,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE
纤维肉瘤推荐哪,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
咋地啊查验纤毛结构缺陷,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
2怎么样处理成人腹股沟斜疝,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
病毒性结膜炎怎么样办,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
月经不调补品哪些,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
为什么察觉胆道梗阻,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
察觉下垂乳房何故,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
咋地验证嗅觉倒错,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
噢食物什么物黄曲霉素中毒,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
意识到踝关节肿胀、何以故,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
双胎静脉吻合怎么医治,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
感染诱发昏迷f5咋地减轻,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
何事避开无动性缄默,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
7反射性晕厥哪些建议,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
